USER            PID   PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root              1      0 2199344   4296 0                   0 S init
root              2      0       0      0 0                   0 S [kthreadd]
root              3      2       0      0 0                   0 I [rcu_gp]
root              5      2       0      0 0                   0 I [kworker/0:0H]
root              7      2       0      0 0                   0 I [mm_percpu_wq]
root              8      2       0      0 0                   0 S [ksoftirqd/0]
root              9      2       0      0 0                   0 I [rcu_preempt]
root             10      2       0      0 0                   0 I [rcu_sched]
root             11      2       0      0 0                   0 I [rcu_bh]
root             12      2       0      0 0                   0 S [rcuop/0]
root             13      2       0      0 0                   0 S [rcuos/0]
root             14      2       0      0 0                   0 S [rcuob/0]
root             15      2       0      0 0                   0 S [migration/0]
root             16      2       0      0 0                   0 S [cpuhp/0]
root             17      2       0      0 0                   0 S [cpuhp/1]
root             18      2       0      0 0                   0 S [migration/1]
root             19      2       0      0 0                   0 S [ksoftirqd/1]
root             21      2       0      0 0                   0 I [kworker/1:0H]
root             22      2       0      0 0                   0 S [rcuop/1]
root             23      2       0      0 0                   0 S [rcuos/1]
root             24      2       0      0 0                   0 S [rcuob/1]
root             25      2       0      0 0                   0 S [cpuhp/2]
root             26      2       0      0 0                   0 S [migration/2]
root             27      2       0      0 0                   0 S [ksoftirqd/2]
root             30      2       0      0 0                   0 S [rcuop/2]
root             31      2       0      0 0                   0 S [rcuos/2]
root             32      2       0      0 0                   0 S [rcuob/2]
root             33      2       0      0 0                   0 S [cpuhp/3]
root             34      2       0      0 0                   0 S [migration/3]
root             35      2       0      0 0                   0 S [ksoftirqd/3]
root             37      2       0      0 0                   0 I [kworker/3:0H]
root             38      2       0      0 0                   0 S [rcuop/3]
root             39      2       0      0 0                   0 S [rcuos/3]
root             40      2       0      0 0                   0 S [rcuob/3]
root             41      2       0      0 0                   0 S [cpuhp/4]
root             42      2       0      0 0                   0 S [migration/4]
root             43      2       0      0 0                   0 S [ksoftirqd/4]
root             46      2       0      0 0                   0 S [rcuop/4]
root             47      2       0      0 0                   0 S [rcuos/4]
root             48      2       0      0 0                   0 S [rcuob/4]
root             49      2       0      0 0                   0 S [cpuhp/5]
root             50      2       0      0 0                   0 S [migration/5]
root             51      2       0      0 0                   0 S [ksoftirqd/5]
root             53      2       0      0 0                   0 I [kworker/5:0H]
root             54      2       0      0 0                   0 S [rcuop/5]
root             55      2       0      0 0                   0 S [rcuos/5]
root             56      2       0      0 0                   0 S [rcuob/5]
root             57      2       0      0 0                   0 S [cpuhp/6]
root             58      2       0      0 0                   0 S [migration/6]
root             59      2       0      0 0                   0 S [ksoftirqd/6]
root             62      2       0      0 0                   0 S [rcuop/6]
root             63      2       0      0 0                   0 S [rcuos/6]
root             64      2       0      0 0                   0 S [rcuob/6]
root             65      2       0      0 0                   0 S [cpuhp/7]
root             66      2       0      0 0                   0 S [migration/7]
root             67      2       0      0 0                   0 S [ksoftirqd/7]
root             70      2       0      0 0                   0 S [rcuop/7]
root             71      2       0      0 0                   0 S [rcuos/7]
root             72      2       0      0 0                   0 S [rcuob/7]
root             73      2       0      0 0                   0 I [netns]
root             77      2       0      0 0                   0 I [ipa_usb_wq]
root             78      2       0      0 0                   0 S [msm_watchdog]
root             79      2       0      0 0                   0 S [spi_wdsp]
root             80      2       0      0 0                   0 S [qmp_aop]
root             81      2       0      0 0                   0 S [oom_reaper]
root             82      2       0      0 0                   0 I [writeback]
root             83      2       0      0 0                   0 S [kcompactd0]
root             84      2       0      0 0                   0 I [crypto]
root             85      2       0      0 0                   0 I [kblockd]
root             86      2       0      0 0                   0 I [blk_crypto_wq]
root             87      2       0      0 0                   0 S [irq/102-arm-smm]
root             88      2       0      0 0                   0 S [irq/103-arm-smm]
root             89      2       0      0 0                   0 S [irq/112-arm-smm]
root             90      2       0      0 0                   0 S [irq/45-tsens-up]
root             91      2       0      0 0                   0 S [irq/46-tsens-cr]
root             92      2       0      0 0                   0 S [irq/47-tsens-up]
root             93      2       0      0 0                   0 S [irq/48-tsens-cr]
root             94      2       0      0 0                   0 I [edac-poller]
root             95      2       0      0 0                   0 S [system]
root             96      2       0      0 0                   0 S [rtmm_pool]
root             97      2       0      0 0                   0 S [rtmm_reclaim]
root             98      2       0      0 0                   0 I [ipa_power_mgmt]
root             99      2       0      0 0                   0 I [transport_power]
root            100      2       0      0 0                   0 I [ipa_pm_activate]
root            101      2       0      0 0                   0 I [devfreq_wq]
root            102      2       0      0 0                   0 I [cfg80211]
root            103      2       0      0 0                   0 S [irq/95-qpnp_lcd]
root            144      2       0      0 0                   0 S [kauditd]
root            145      2       0      0 0                   0 S [kswapd0]
root            146      2       0      0 0                   0 S [ecryptfs-kthrea]
root            183      2       0      0 0                   0 S [irq/99-wled_ovp]
root            184      2       0      0 0                   0 S [irq/101-wled_fl]
root            185      2       0      0 0                   0 S [irq/100-wled_pr]
root            186      2       0      0 0                   0 S [irq/117-arm-smm]
root            187      2       0      0 0                   0 S [irq/118-arm-smm]
root            188      2       0      0 0                   0 S [irq/18-smp2p]
root            189      2       0      0 0                   0 S [irq/19-smp2p]
root            190      2       0      0 0                   0 S [irq/20-smp2p]
root            191      2       0      0 0                   0 S [irq/119-arm-smm]
root            193      2       0      0 0                   0 I [mem_share_svc]
root            195      2       0      0 0                   0 S [cdsprm-wq]
root            196      2       0      0 0                   0 I [cdsprm-wq-delay]
root            197      2       0      0 0                   0 S [irq/120-arm-smm]
root            198      2       0      0 0                   0 S [hwrng]
root            200      2       0      0 0                   0 I [diag_real_time_]
root            201      2       0      0 0                   0 I [diag_wq]
root            203      2       0      0 0                   0 I [DIAG_USB_diag]
root            204      2       0      0 0                   0 I [diag_cntl_wq]
root            205      2       0      0 0                   0 I [diag_dci_wq]
root            206      2       0      0 0                   0 I [MODEM_CNTL]
root            207      2       0      0 0                   0 I [MODEM_DATA]
root            208      2       0      0 0                   0 I [MODEM_CMD]
root            209      2       0      0 0                   0 I [MODEM_DCI]
root            210      2       0      0 0                   0 I [MODEM_DCI_CMD]
root            211      2       0      0 0                   0 I [LPASS_CNTL]
root            212      2       0      0 0                   0 I [LPASS_DATA]
root            213      2       0      0 0                   0 I [LPASS_CMD]
root            214      2       0      0 0                   0 I [LPASS_DCI]
root            215      2       0      0 0                   0 I [LPASS_DCI_CMD]
root            216      2       0      0 0                   0 I [WCNSS_CNTL]
root            217      2       0      0 0                   0 I [WCNSS_DATA]
root            218      2       0      0 0                   0 I [WCNSS_CMD]
root            219      2       0      0 0                   0 I [WCNSS_DCI]
root            220      2       0      0 0                   0 I [WCNSS_DCI_CMD]
root            221      2       0      0 0                   0 I [SENSORS_CNTL]
root            222      2       0      0 0                   0 I [SENSORS_DATA]
root            223      2       0      0 0                   0 I [SENSORS_CMD]
root            224      2       0      0 0                   0 I [SENSORS_DCI]
root            225      2       0      0 0                   0 I [SENSORS_DCI_CMD]
root            226      2       0      0 0                   0 I [DIAG_CTRL]
root            227      2       0      0 0                   0 I [DIAG_DATA]
root            228      2       0      0 0                   0 I [DIAG_CMD]
root            229      2       0      0 0                   0 I [DIAG_DCI_DATA]
root            230      2       0      0 0                   0 I [DIAG_DCI_CMD]
root            231      2       0      0 0                   0 I [CDSP_CNTL]
root            232      2       0      0 0                   0 I [CDSP_DATA]
root            233      2       0      0 0                   0 I [CDSP_CMD]
root            234      2       0      0 0                   0 I [CDSP_DCI]
root            235      2       0      0 0                   0 I [CDSP_DCI_CMD]
